row,requirement,feature,spec,importance,status,description_preview
27,2. 주요 기능 목록,,,,,
29,요구사항 Requirements,기능 Features,상세 기능 Specification,중요도,상태,설명 및 상세 요구사항 Description
30,1 계정·인증 및 권한,기능 Features,,높음,작성중,"여행자는 구글 계정으로 서비스에 로그인해 자신의 취향 프로파일, 여행 핀, 추천 결과, 포토북 기록을 개인 계정 데이터로 이용하며, 여행 기록에 필요한 카메라·위치·NFC 권한의 목적을 확인하고 허용하거나 거부한다. 이 영역은 구글 로그인, 세션 유지·해제, 권한 안내·요청, 권한 거부·미지원 안내를 포함하며 이메일·비밀"
31,1 계정·인증 및 권한,1.1 구글 로그인,,높음,작성중,"여행자는 구글 계정으로 서비스에 로그인해 본인의 취향 프로파일·핀·추천 결과·포토북을 개인 계정으로 이용하고, 로그아웃 후에도 다시 로그인하면 기록에 이어서 접근한다. 이 기능은 구글 OAuth 로그인과 세션 유지·해제에 한정하며 이메일·비밀번호 회원가입과 계정 삭제는 포함하지 않는다. [기능의 근거] 여행자는 기기가 바"
32,1 계정·인증 및 권한,1.1 구글 로그인,1.1.1 로그아웃 및 로그인 세션 해제,중간,작성중,"로그인한 여행자는 마이페이지의 로그아웃 동작을 통해 현재 기기의 로그인 세션을 해제한다. 로그아웃 후에는 개인 취향 프로파일과 여행 기록에 접근할 수 없으며, 같은 구글 계정으로 다시 로그인하면 기존 데이터를 이어서 이용한다. [개발 준비 슬롯] • 선행조건: - 여행자는 구글 계정으로 로그인한 활성 세션을 보유한다. •"
33,1 계정·인증 및 권한,1.2 촬영·위치·NFC 권한 안내 및 요청,,높음,작성중,"여행자는 NFC 태깅과 핀 저장에 필요한 카메라·위치·NFC 접근 권한의 사용 목적을 권한 안내 화면에서 확인한 뒤 허용하거나 거부한다. 이 기능은 권한 종류별 목적 안내와 기기 권한 요청에 한정하며, 거부·미지원 상태의 후속 안내는 1.3에서 다룬다. [기능의 근거] 여행 중 촬영 순간에 권한 요청 팝업이 처음 뜨면 사"
34,1 계정·인증 및 권한,1.3 권한 거부·미지원 안내 및 재시도,,높음,작성중,"여행자가 권한을 거부했거나 기기가 NFC를 지원하지 않는 경우, 서비스는 사용할 수 없는 기능과 기기 설정으로 이동하는 방법을 권한별로 안내하고 재시도 진입점을 제공한다. 이 기능은 거부·미지원 상태의 안내와 재요청에 한정하며, 최초 권한 요청은 1.2에서 다룬다. [기능의 근거] 권한을 거부한 사용자가 어떤 기능을 쓸 "
35,2 취향 프로파일 온보딩,1.3 권한 거부·미지원 안내 및 재시도,,높음,작성중,"서비스는 여행자가 기본 질문과 사진 A/B 선택을 통해 자신의 여행 사진 선호 기준을 설정하도록 지원한다. 이 영역은 최초 이용자의 취향 프로파일 생성과 중단한 온보딩의 재개를 포함하며, 기존 개인 앨범을 자동 분석하는 방식은 포함하지 않는다. 1. ○ 여행자는 최초 이용 시 사진 취향을 파악하는 기본 질문 7개에 답할 "
36,2 취향 프로파일 온보딩,2.1 기본 질문 취향 온보딩,,높음,작성중,"여행자는 서비스가 제공하는 점진적 적응형 퀴즈 형식의 기본 질문 7개에 답해 여행 사진 촬영의 준거가 되는 초기 프로파일을 설정한다. 서비스는 이전 응답에 따라 다음 질문을 좁혀가며 인물·풍경, 구도, 분위기 등 핵심 축을 파악하며, A/B 사진 비교를 통한 보완은 포함하지 않는다. [기능의 근거] 사진 A/B 비교만으로"
37,2 취향 프로파일 온보딩,2.2 A/B 사진 취향 온보딩,,높음,작성중,"여행자는 차이가 뚜렷한 사진 A/B 쌍을 5회 선택해 자신의 여행 사진 선별 기준을 설정한다. 각 라운드는 기본 질문으로 파악한 상위 축 안에서 사진으로만 판단할 수 있는 세부 축(색감, 구도 밀도, 분위기 등)을 검증하는 사진 쌍으로 구성하며, 기본 질문 응답 수집과 기존 개인 앨범 자동 분석은 포함하지 않는다. [기능"
